ma_3,ma_7,month,day,amounts ( in ₹ )
,,8,19,12.0
,,8,19,110.0
,,8,18,20.0
47.333333333333336,,8,18,12.0
47.333333333333336,,8,17,7.0
13.0,,8,16,96.0
38.333333333333336,,8,14,12.0
38.333333333333336,38.42857142857143,8,13,40.0
49.333333333333336,42.42857142857143,8,12,12.0
21.333333333333332,28.428571428571427,8,11,12.0
21.333333333333332,27.285714285714285,8,10,197.05
73.68333333333334,53.721428571428575,8,10,7.0
72.01666666666667,53.721428571428575,8,29,2.0
68.68333333333334,40.292857142857144,8,29,2.0
3.6666666666666665,38.864285714285714,8,29,132.05
45.35,52.01428571428572,8,29,10.0
48.01666666666667,51.728571428571435,8,28,694.0
278.68333333333334,149.15714285714284,8,28,296.0
333.3333333333333,163.29285714285717,8,27,10.0
333.3333333333333,163.7214285714286,8,26,30.0
112.0,167.7214285714286,8,26,161.0
67.0,190.4357142857143,8,25,12.0
67.66666666666667,173.28571428571428,8,25,38.0
70.33333333333333,177.28571428571428,8,24,10.0
20.0,79.57142857142857,8,22,216.81
88.27,68.25857142857143,8,22,20.0
82.27,69.68714285714286,7,31,12.0
82.93666666666667,67.11571428571429,7,29,449.0
160.33333333333334,108.25857142857141,7,29,86.0
182.33333333333334,118.83,7,28,12.0
182.33333333333334,115.11571428571428,7,26,164.05
87.35000000000001,137.12285714285716,7,26,579.0
251.6833333333333,188.8642857142857,7,25,100.0
281.01666666666665,200.29285714285714,7,25,12.0
230.33333333333334,200.29285714285714,7,25,50.0
54.0,143.29285714285714,7,25,25.0
29.0,134.57857142857142,7,24,50.0
41.666666666666664,140.00714285714284,7,24,12.0
29.0,118.28571428571429,7,24,50.0
37.333333333333336,42.714285714285715,7,24,25.0
29.0,32.0,7,23,50.0
41.666666666666664,37.42857142857143,7,23,50.0
41.666666666666664,37.42857142857143,7,23,20.0
40.0,36.714285714285715,7,23,12.0
27.333333333333332,31.285714285714285,7,23,25.0
19.0,33.142857142857146,7,22,36.0
24.333333333333332,31.142857142857142,7,22,50.0
37.0,34.714285714285715,7,22,25.0
37.0,31.142857142857142,7,21,50.0
41.666666666666664,31.142857142857142,7,21,12.0
29.0,30.0,7,21,50.0
37.333333333333336,35.42857142857143,7,21,25.0
29.0,35.42857142857143,7,20,20.0
31.666666666666668,33.142857142857146,7,20,12.0
19.0,27.714285714285715,7,20,189.93
73.97666666666667,51.27571428571429,7,20,7.0
69.64333333333333,45.13285714285714,7,19,195.15
130.69333333333336,71.29714285714286,7,19,24.0
75.38333333333334,67.58285714285715,7,19,20.0
79.71666666666667,66.86857142857143,7,18,95.8
46.6,77.69714285714285,7,18,366.0
160.6,128.26857142857142,7,18,12.0
157.93333333333334,102.85000000000001,7,13,800.0
392.6666666666667,216.1357142857143,7,13,2400.0
1070.6666666666667,531.1142857142858,7,12,1058.05
1419.3500000000001,678.8357142857143,7,27,181.0
1213.0166666666667,701.8357142857143,7,25,3996.0
1745.0166666666667,1259.0071428571428,7,25,10.0
1395.6666666666667,1208.1499999999999,7,22,181.0
1395.6666666666667,1232.292857142857,7,22,26.0
72.33333333333333,1121.7214285714285,7,21,10.0
72.33333333333333,780.2928571428572,7,21,16.0
17.333333333333332,631.4285714285714,7,21,348.0
124.66666666666667,655.2857142857143,6,30,50.0
138.0,91.57142857142857,6,30,25.0
141.0,93.71428571428571,6,30,110.0
61.666666666666664,83.57142857142857,6,30,349.0
161.33333333333334,129.71428571428572,6,29,349.0
269.3333333333333,178.14285714285714,6,29,135.0
277.6666666666667,195.14285714285714,6,29,1600.0
694.6666666666666,374.0,6,29,184.99
639.9966666666667,393.28428571428566,6,29,201.0
661.9966666666667,418.4271428571428,6,28,114.0
166.66333333333333,418.9985714285714,6,28,163.0
159.33333333333334,392.4271428571428,6,27,40.0
105.66666666666667,348.28428571428566,6,27,25.0
76.0,332.57,6,27,70.0
45.0,113.99857142857142,6,26,25.0
40.0,91.14285714285714,6,26,110.0
68.33333333333333,78.14285714285714,6,26,212.0
115.66666666666667,92.14285714285714,6,25,25.0
115.66666666666667,72.42857142857143,6,25,110.0
115.66666666666667,82.42857142857143,6,23,25.0
53.333333333333336,82.42857142857143,6,23,90.0
75.0,85.28571428571429,6,23,110.0
75.0,97.42857142857143,6,23,216.0
138.66666666666666,112.57142857142857,6,22,135.0
153.66666666666666,101.57142857142857,6,22,154.35
168.45000000000002,120.05,6,21,71.0
120.11666666666667,114.47857142857143,6,21,177.6
134.31666666666666,136.27857142857144,6,21,301.0
183.20000000000002,166.42142857142858,6,20,35.0
171.20000000000002,155.70714285714286,6,20,33.0
123.0,129.56428571428572,6,20,25.0
31.0,113.85000000000001,6,20,110.0
56.0,107.5142857142857,6,19,25.0
53.333333333333336,100.94285714285714,6,19,70.0
68.33333333333333,85.57142857142857,6,18,25.0
40.0,46.142857142857146,6,18,110.0
68.33333333333333,56.857142857142854,6,17,25.0
53.333333333333336,55.714285714285715,6,17,110.0
81.66666666666667,67.85714285714286,6,16,133.0
89.33333333333333,71.14285714285714,6,16,90.0
111.0,80.42857142857143,6,16,204.0
142.33333333333334,99.57142857142857,6,15,62.0
118.66666666666667,104.85714285714286,6,15,188.41
151.47,116.05857142857143,6,14,184.99
145.13333333333333,138.9142857142857,6,14,361.0
244.79999999999998,174.77142857142857,6,13,90.0
211.99666666666667,168.62857142857143,6,12,25.0
158.66666666666666,159.34285714285716,6,12,110.0
75.0,145.9142857142857,6,11,90.0
75.0,149.91428571428574,6,10,90.0
96.66666666666667,135.8557142857143,6,29,25.0
68.33333333333333,113.0,6,29,110.0
75.0,77.14285714285714,6,28,271.24
135.41333333333333,103.03428571428572,6,28,366.0
249.08,151.74857142857144,6,28,189.25
275.49666666666667,163.07,6,27,178.25
244.5,175.67714285714285,6,27,134.0
167.16666666666666,181.96285714285713,6,26,25.0
112.41666666666667,181.96285714285713,6,26,70.0
76.33333333333333,176.24857142857144,6,26,136.0
77.0,156.92857142857142,6,25,90.0
98.66666666666667,117.5,6,24,15.0
80.33333333333333,92.60714285714286,6,24,245.0
